#book	chapter	verse	word	strong	lemma	morph
MAT	1	1	Βίβλος	G0976	βίβλος	N-----NSF
MAT	1	1	γενέσεως	G1078	γένεσις	N-----GSF
MAT	1	1	Ἰησοῦ	G2424	Ἰησοῦς	N-----GSM
MAT	1	1	χριστοῦ	G5547	Χριστός	N-----GSM
MAT	1	1	υἱοῦ	G5207	υἱός	N-----GSM
MAT	1	1	Δαυὶδ		Δαυίδ	N-----GSM
MAT	1	1	υἱοῦ	G5207	υἱός	N-----GSM
MAT	1	1	Ἀβραάμ	G0011	Ἀβραάμ	N-----GSM
MAT	1	2	Ἀβραὰμ	G0011	Ἀβραάμ	N-----NSM
MAT	1	2	ἐγέννησεν	G1080	γεννάω	V-3AAI-S
MAT	1	2	τὸν	G3588	ὁ	RA----ASM
MAT	1	2	Ἰσαάκ	G2464	Ἰσαάκ	N-----ASM
MAT	1	2	Ἰσαὰκ	G2464	Ἰσαάκ	N-----NSM
MAT	1	2	δὲ	G1161	δέ	C
MAT	1	2	ἐγέννησεν	G1080	γεννάω	V-3AAI-S
MAT	1	2	τὸν	G3588	ὁ	RA----ASM
MAT	1	2	Ἰακώβ	G2384	Ἰακώβ	N-----ASM
MAT	1	2	Ἰακὼβ	G2384	Ἰακώβ	N-----NSM
MAT	1	2	δὲ	G1161	δέ	C
MAT	1	2	ἐγέννησεν	G1080	γεννάω	V-3AAI-S
MAT	1	2	τὸν	G3588	ὁ	RA----ASM
MAT	1	2	Ἰούδαν	G2455	Ἰούδας	N-----ASM
MAT	1	2	καὶ	G2532	καί	C
MAT	1	2	τοὺς	G3588	ὁ	RA----APM
MAT	1	2	ἀδελφοὺς	G0080	ἀδελφός	N-----APM
MAT	1	2	αὐτοῦ	G0846	αὐτός	RP----GSM
MAT	1	3	Ἰούδας	G2455	Ἰούδας	N-----NSM
MAT	1	3	δὲ	G1161	δέ	C
MAT	1	3	ἐγέννησεν	G1080	γεννάω	V-3AAI-S
MAT	1	3	τὸν	G3588	ὁ	RA----ASM
MAT	1	3	Φαρὲς	G5329	Φαρές	N-----ASM
MAT	1	3	καὶ	G2532	καί	C
MAT	1	3	τὸν	G3588	ὁ	RA----ASM
MAT	1	3	Ζάρα	G2196	Ζάρα	N-----ASM
MAT	1	3	ἐκ	G1537	ἐκ	P
MAT	1	3	τῆς	G3588	ὁ	RA----GSF
MAT	1	3	Θαμάρ	G2283	Θαμάρ	N-----GSF
MAT	1	3	Φαρὲς	G5329	Φαρές	N-----NSM
MAT	1	3	δὲ	G1161	δέ	C
MAT	1	3	ἐγέννησεν	G1080	γεννάω	V-3AAI-S
MAT	1	3	τὸν	G3588	ὁ	RA----ASM
MAT	1	3	Ἑσρώμ	G2074	Ἑσρώμ	N-----ASM
MAT	1	3	Ἑσρὼμ	G2074	Ἑσρώμ	N-----NSM
MAT	1	3	δὲ	G1161	δέ	C
MAT	1	3	ἐγέννησεν	G1080	γεννάω	V-3AAI-S
MAT	1	3	τὸν	G3588	ὁ	RA----ASM
