#book	chapter	verse	word	strong	lemma	morph
GEN	1	1	בְּ	H9003	H7225	HR/Ncfsa
GEN	1	1	רֵאשִׁ֖ית	H7225	H7225	HR/Ncfsa
GEN	1	1	בָּרָ֣א	H1254	H1254	HVqp3ms
GEN	1	1	אֱלֹהִ֑ים	H0430	H0430	HNcmpa
GEN	1	1	אֵ֥ת	H0853		HTo
GEN	1	1	הַ	H9009	H8064	HTd/Ncmpa
GEN	1	1	שָּׁמַ֖יִם	H8064	H8064	HTd/Ncmpa
GEN	1	1	וְ	H9002		HC/To
GEN	1	1	אֵ֥ת	H0853		HC/To
GEN	1	1	הָ/אָֽרֶץ\׃	H9009	H0776	HTd/Ncfsa
GEN	1	2	וְ	H9002	H0776	HC/Td/Ncfsa
GEN	1	2	הָ	H9009	H0776	HC/Td/Ncfsa
GEN	1	2	אָ֗רֶץ	H0776	H0776	HC/Td/Ncfsa
GEN	1	2	הָיְתָ֥ה	H1961	H1961	HVqp3fs
GEN	1	2	תֹ֙הוּ֙	H8414	H8414	HNcmsa
GEN	1	2	וָ	H9002	H0922	HC/Ncmsa
GEN	1	2	בֹ֔הוּ	H0922	H0922	HC/Ncmsa
GEN	1	2	וְ	H9002	H2822	HC/Ncmsa
GEN	1	2	חֹ֖שֶׁךְ	H2822	H2822	HC/Ncmsa
GEN	1	2	עַל\־	H5921		HR
GEN	1	2	פְּנֵ֣י	H6440		HNcmpc
GEN	1	2	תְה֑וֹם	H8415	H8415	HNcfsa
GEN	1	2	וְ	H9002	H7307	HC/Ncfsc
GEN	1	2	ר֣וּחַ	H7307	H7307	HC/Ncfsc
GEN	1	2	אֱלֹהִ֔ים	H0430	H0430	HNcmpa
GEN	1	2	מְרַחֶ֖פֶת	H7363	H7363	HVprfsa
GEN	1	2	עַל\־	H5921		HR
GEN	1	2	פְּנֵ֥י	H6440		HNcmpc
GEN	1	2	הַ/מָּֽיִם\׃	H9009	H4325	HTd/Ncmpa
GEN	1	3	וַ	H9001	H0559	Hc/Vqw3ms
GEN	1	3	יֹּ֥אמֶר	H0559	H0559	Hc/Vqw3ms
GEN	1	3	אֱלֹהִ֖ים	H0430	H0430	HNcmpa
GEN	1	3	יְהִ֣י	H1961		HVqj3ms
GEN	1	3	א֑וֹר	H0216		HNcfsa
GEN	1	3	וַֽ/יְהִי\־	H9001		Hc/Vqw3ms
GEN	1	3	אֽוֹר\׃	H0216		HNcfsa
GEN	1	4	וַ	H9001	H7200	Hc/Vqw3ms
GEN	1	4	יַּ֧רְא	H7200	H7200	Hc/Vqw3ms
GEN	1	4	אֱלֹהִ֛ים	H0430		HNcmpa
GEN	1	4	אֶת\־	H0853	H0853	HTo
GEN	1	4	הָ	H9009		HTd/Ncfsa
GEN	1	4	א֖וֹר	H0216		HTd/Ncfsa
GEN	1	4	כִּי\־	H3588	H3588	HTc
GEN	1	4	ט֑וֹב	H2895	H2895	HVqp3ms
GEN	1	4	וַ	H9001	H0914	Hc/Vhw3ms
GEN	1	4	יַּבְדֵּ֣ל	H0914	H0914	Hc/Vhw3ms
GEN	1	4	אֱלֹהִ֔ים	H0430		HNcmpa
GEN	1	4	בֵּ֥ין	H0996		HAcmsc
GEN	1	4	הָ	H9009		HTd/Ncfsa
GEN	1	4	א֖וֹר	H0216		HTd/Ncfsa
GEN	1	4	וּ	H9002		HC/Acmsc
GEN	1	4	בֵ֥ין	H0996		HC/Acmsc
GEN	1	4	הַ/חֹֽשֶׁךְ\׃	H9009	H2822	HTd/Ncmsa
GEN	1	5	וַ	H9001		Hc/Vqw3ms
GEN	1	5	יִּקְרָ֨א	H7121		Hc/Vqw3ms
GEN	1	5	אֱלֹהִ֤ים\׀	H0430	H0430	HNcmpa
GEN	1	5	לָ	H9005	H0216	HRd/Ncfsa
