#book	chapter	verse	word	strong	lemma	morph
MAT	1	1	βιβλον	G0976		N-NSF
MAT	1	1	γεnεσεων	G1078		N-GSF
MAT	1	1	ιησου	G2424		N-GSM
MAT	1	1	χριστου	G5547		N-GSM
MAT	1	1	υιου	G5207		N-GSM
MAT	1	1	δαβιδ	G1138		N-PRI
MAT	1	1	υιου	G5207		N-GSM
MAT	1	1	αβρααμ	G0011		N-PRI
MAT	1	2	αβρααμ	G0011		N-PRI
MAT	1	2	εγεnnησεn	G1080		V-AAI-3S
MAT	1	2	τοn	G3588		T-ASM
MAT	1	2	ισαακ	G2464		N-PRI
MAT	1	2	ισαακ	G2464		N-PRI
MAT	1	2	δε	G1161		CONJ
MAT	1	2	εγεnnησεn	G1080		V-AAI-3S
MAT	1	2	τοn	G3588		T-ASM
MAT	1	2	ιακωβ	G2384		N-PRI
MAT	1	2	ιακωβ	G2384		N-PRI
MAT	1	2	δε	G1161		CONJ
MAT	1	2	εγεnnησεn	G1080		V-AAI-3S
MAT	1	2	τοn	G3588		T-ASM
MAT	1	2	ιουδαn	G2455		N-ASM
MAT	1	2	και	G2532		CONJ
MAT	1	2	τουν	G3588		T-APM
MAT	1	2	αδελφουν	G0080		N-APM
MAT	1	2	αυτου	G0846		P-GSM
MAT	1	3	ιουδαν	G2455		N-NSM
MAT	1	3	δε	G1161		CONJ
MAT	1	3	εγεnnησεn	G1080		V-AAI-3S
MAT	1	3	τοn	G3588		T-ASM
MAT	1	3	φαρεν	G5329		N-PRI
MAT	1	3	και	G2532		CONJ
MAT	1	3	τοn	G3588		T-ASM
MAT	1	3	ζαρα	G2196		N-PRI
MAT	1	3	εκ	G1537		PREP
MAT	1	3	την	G3588		T-GSF
MAT	1	3	θαμαρ	G2283		N-PRI
MAT	1	3	φαρεν	G5329		N-PRI
MAT	1	3	δε	G1161		CONJ
MAT	1	3	εγεnnησεn	G1080		V-AAI-3S
MAT	1	3	τοn	G3588		T-ASM
MAT	1	3	εσρωμ	G2074		N-PRI
MAT	1	3	εσρωμ	G2074		N-PRI
MAT	1	3	δε	G1161		CONJ
MAT	1	3	εγεnnησεn	G1080		V-AAI-3S
MAT	1	3	τοn	G3588		T-ASM
MAT	1	3	αραμ	G0689		N-PRI
MAT	1	4	αραμ	G0689		N-PRI
MAT	1	4	δε	G1161		CONJ
MAT	1	4	εγεnnησεn	G1080		V-AAI-3S
MAT	1	4	τοn	G3588		T-ASM
MAT	1	4	αμιnαδαβ	G0284		N-PRI
MAT	1	4	αμιnαδαβ	G0284		N-PRI
MAT	1	4	δε	G1161		CONJ
MAT	1	4	εγεnnησεn	G1080		V-AAI-3S
MAT	1	4	τοn	G3588		T-ASM
MAT	1	4	nαασσωn	G3476		N-PRI
MAT	1	4	nαασσωn	G3476		N-PRI
